iter	Passed	Remaining
1048	51026	70580
1049	51075	70532
1050	51122	70482
1051	51170	70432
1052	51217	70381
1053	51266	70333
1054	51312	70281
1055	51358	70229
1056	51407	70181
1057	51453	70129
1058	51501	70078
1059	51549	70029
1060	51598	69981
1061	51646	69932
1062	51693	69881
1063	51741	69831
1064	51790	69783
1065	51838	69734
1066	51887	69685
1067	51934	69635
1068	51982	69585
1069	52030	69535
1070	52078	69486
1071	52126	69436
1072	52173	69386
1073	52221	69336
1074	52267	69285
1075	52315	69235
1076	52361	69183
1077	52409	69134
1078	52457	69084
1079	52504	69033
1080	52553	68985
1081	52599	68933
1082	52648	68885
1083	52696	68835
1084	52745	68787
1085	52792	68737
1086	52842	68690
1087	52888	68639
1088	52940	68594
1089	52987	68543
1090	53037	68496
1091	53085	68447
1092	53133	68397
1093	53177	68342
1094	53226	68295
1095	53275	68246
1096	53329	68204
1097	53379	68158
1098	53428	68110
1099	53475	68060
1100	53534	68024
1101	53580	67972
1102	53629	67924
1103	53677	67874
1104	53726	67827
1105	53775	67779
1106	53823	67729
1107	53870	67678
1108	53916	67626
1109	53963	67576
1110	54008	67523
1111	54054	67471
1112	54101	67420
1113	54148	67370
1114	54196	67320
1115	54243	67269
1116	54295	67225
1117	54345	67178
1118	54392	67127
1119	54440	67079
1120	54488	67029
1121	54536	66980
1122	54586	66932
1123	54634	66883
1124	54678	66829
1125	54728	66781
1126	54776	66733
1127	54825	66685
1128	54873	66635
1129	54921	66585
1130	54970	66538
1131	55018	66488
1132	55065	66437
1133	55113	66388
1134	55160	66338
1135	55206	66286
1136	55254	66237
1137	55300	66185
1138	55346	66133
1139	55394	66084
1140	55442	66035
1141	55491	65986
1142	55540	65938
1143	55587	65888
1144	55634	65837
1145	55682	65788
1146	55731	65740
1147	55778	65690
1148	55823	65637
1149	55873	65590
1150	55923	65543
1151	55970	65493
1152	56020	65446
1153	56065	65393
1154	56115	65346
1155	56162	65296
1156	56210	65247
1157	56256	65194
1158	56305	65146
1159	56353	65097
1160	56403	65050
1161	56451	65002
1162	56499	64952
1163	56546	64901
1164	56594	64852
1165	56640	64801
1166	56687	64751
1167	56736	64702
1168	56785	64655
1169	56832	64604
1170	56881	64556
1171	56931	64508
1172	56977	64457
1173	57024	64408
1174	57072	64358
1175	57122	64311
1176	57172	64264
1177	57219	64213
1178	57265	64163
1179	57314	64114
1180	57361	64064
1181	57410	64016
1182	57458	63966
1183	57507	63919
1184	57553	63867
1185	57601	63818
1186	57648	63767
1187	57694	63716
1188	57742	63666
1189	57789	63616
1190	57836	63566
1191	57882	63515
1192	57928	63464
1193	57976	63415
1194	58023	63364
1195	58073	63317
1196	58123	63270
1197	58172	63222
1198	58220	63173
1199	58270	63125
1200	58318	63076
1201	58367	63029
1202	58416	62981
1203	58465	62933
1204	58512	62883
1205	58575	62849
1206	58623	62800
1207	58669	62749
1208	58715	62698
1209	58764	62649
1210	58809	62596
1211	58858	62549
1212	58905	62499
1213	58954	62450
1214	59003	62402
1215	59050	62352
1216	59114	62320
1217	59166	62275
1218	59214	62226
1219	59261	62175
1220	59306	62123
1221	59353	62073
1222	59400	62023
1223	59449	61975
1224	59495	61923
1225	59543	61874
1226	59590	61824
1227	59636	61773
1228	59683	61722
1229	59732	61675
1230	59779	61624
1231	59830	61578
1232	59876	61527
1233	59923	61476
1234	59972	61428
1235	60019	61379
1236	60070	61332
1237	60116	61282
1238	60162	61230
1239	60212	61183
1240	60261	61135
1241	60310	61087
1242	60359	61039
1243	60403	60986
1244	60452	60937
1245	60499	60887
1246	60549	60840
1247	60597	60791
1248	60645	60742
1249	60695	60695
1250	60742	60645
1251	60792	60598
1252	60838	60547
1253	60886	60497
1254	60931	60445
1255	60979	60396
1256	61027	60347
1257	61074	60297
1258	61124	60250
1259	61172	60201
1260	61220	60152
1261	61266	60101
1262	61315	60053
1263	61363	60004
1264	61410	59954
1265	61457	59904
1266	61506	59855
1267	61555	59807
1268	61600	59756
1269	61647	59705
1270	61693	59654
1271	61741	59606
1272	61789	59556
1273	61837	59507
1274	61884	59458
1275	61932	59408
1276	61979	59358
1277	62027	59309
1278	62074	59259
1279	62123	59211
1280	62170	59161
1281	62218	59112
1282	62265	59062
1283	62314	59013
1284	62361	58964
1285	62409	58915
1286	62457	58866
1287	62504	58816
1288	62551	58766
1289	62598	58716
1290	62644	58665
1291	62693	58617
1292	62740	58567
1293	62791	58521
1294	62841	58474
1295	62892	58427
1296	62937	58376
1297	62986	58328
1298	63033	58278
1299	63083	58231
1300	63131	58181
1301	63177	58131
1302	63227	58084
1303	63276	58035
1304	63324	57987
1305	63373	57938
1306	63422	57890
1307	63470	57841
1308	63517	57791
1309	63562	57739
1310	63611	57691
1311	63659	57643
1312	63709	57595
